hospital_name,city,state_code,rural_versus_urban,net_income,net_patient_revenue,total_costs,total_discharges,medicare_discharges,cost_to_charge_ratio,cost_of_charity_care,medicare_dependency_pct,charge_markup_ratio
"FIRST HOSPITAL PANAMERICANO",CIDRA,PR,U,1592866.00,36287251.00,27915015.00,8229,188,NULL,NULL,2.28,2.61
"SAN JUAN CP HOSPITAL","SAN JUAN",PR,U,3523611.00,38049990.00,25411759.00,6816,168,NULL,NULL,2.46,3.95
"SANFORD HOSPITAL WEBSTER",WEBSTER,SD,R,2326418.00,11354902.00,10608107.00,121,87,0.5505,497180.00,71.90,1.82
"UBH EL PASO HOSPITAL","EL PASO",TX,U,16734613.00,48257080.00,26871515.00,6564,193,NULL,NULL,2.94,5.32
"LONESTAR BEHAVIORAL HEALTH",CYPRESS,TX,U,3538459.00,10658554.00,6906330.00,546,75,NULL,NULL,13.74,1.54
"HOLY CROSS HOSPITAL - DAVIS",LAYTON,UT,U,3673064.00,36910180.00,35941612.00,734,123,0.3598,577007.00,16.76,2.78
"GRANT REGIONAL HEALTH CENTER  INC.",LANCASTER,WI,R,1776285.00,47541707.00,41807905.00,422,168,0.5371,154741.00,39.81,1.86
"OZARKS COMMUNITY HOSPITAL OF GRAVETT",GRAVETTE,AR,R,1928732.00,56653501.00,62837093.00,296,75,0.5094,1480874.00,25.34,1.96
"TURNING POINT HOSPITAL",MOULTREE,GA,R,3520148.00,27522796.00,15477251.00,1469,780,NULL,316618.00,53.10,5.74
"HAMILTON COUNTY HOSPITAL",SYRACUSE,KS,R,426615.00,15170748.00,15580804.00,52,46,3.0647,NULL,88.46,0.33
"PORTAGE HEALTH SYSTEM",HANCOCK,MI,R,-351706.00,71277547.00,55344323.00,999,240,0.2561,365678.00,24.02,3.91
"MAGNOLIA HOSPITAL",CORINTH,MS,R,-17802.00,174237415.00,118351055.00,5295,2744,0.1973,4537346.00,51.82,5.07
"MAGEE GENERAL HOSPITAL",MAGEE,MS,U,-952281.00,14820779.00,14273454.00,434,189,0.2586,1756476.00,43.55,3.87
